date,tavg,tmin,tmax,prcp,snow,wspd
1/1/2009,24.8,17.78,31.82,0,0,13.67016623
1/2/2009,25.16,19.58,30.74,0,0,8.699196691
1/3/2009,27.68,18.68,36.86,0.039370079,0,11.80605265
1/4/2009,27.68,17.78,37.76,0.511811024,0,11.18468146
1/5/2009,19.94,11.84,28.22,0,0,8.077825499
1/6/2009,24.98,19.22,30.74,0.31496063,9.842519685,6.213711922
1/7/2009,20.48,12.2,28.94,0.62992126,9.842519685,10.56331027
1/8/2009,16.52,12.02,21.02,0,9.842519685,9.941939076
1/9/2009,21.2,13.64,28.94,2.047244094,29.92125984,8.077825499
1/10/2009,24.8,20.84,28.94,4.094488189,79.92125984,11.80605265
1/11/2009,18.5,16.34,20.84,0,79.92125984,6.213711922
1/12/2009,20.84,11.12,30.56,1.732283465,90.15748031,7.456454307
1/13/2009,15.08,0.5,29.84,0.31496063,70.07874016,11.80605265
1/14/2009,8.06,0.5,15.62,1.929133858,100,11.80605265
1/15/2009,-6.16,-13,0.68,0,79.92125984,11.18468146
1/16/2009,-7.24,-18.04,3.74,0,70.07874016,7.456454307
1/17/2009,14.18,3.74,24.8,0.078740157,70.07874016,15.53427981
1/18/2009,13.64,9.68,17.78,0,70.07874016,8.699196691
1/19/2009,17.24,10.58,23.9,0,59.84251969,11.18468146
1/20/2009,17.96,10.22,25.7,0,59.84251969,9.941939076
1/21/2009,20.48,12.2,28.76,0,59.84251969,9.941939076
1/22/2009,25.16,15.62,34.7,0,50,6.213711922
1/23/2009,23.36,12.92,33.98,0,50,13.67016623
1/24/2009,7.16,1.4,12.92,0,50,9.941939076
1/25/2009,7.52,0.5,14.72,0,50,6.835083115
1/26/2009,10.94,4.82,17.06,0,50,4.349598346
1/27/2009,15.98,9.5,22.46,0.157480315,50,5.59234073
1/28/2009,15.8,12.02,19.58,0.94488189,70.07874016,8.699196691
1/29/2009,21.02,13.1,29.12,0,70.07874016,11.80605265
1/30/2009,10.58,5.72,15.62,0,70.07874016,9.320567884
1/31/2009,22.46,6.98,37.94,0,59.84251969,14.29153742
2/1/2009,32.18,25.7,38.48,0,50,9.320567884
2/2/2009,19.04,11.3,26.78,0,50,11.18468146
2/3/2009,11.66,2.66,20.84,0,50,16.155651
2/4/2009,10.04,2.48,17.78,0,50,10.56331027
