date,tavg,tmin,tmax,prcp,snow,wspd
1/1/2012,36.5,28.94,44.06,0.236220472,0,19.26250696
1/2/2012,23,17.24,28.94,0.118110236,0,18.01976457
1/3/2012,19.94,12.92,26.96,0,0,10.56331027
1/4/2012,34.34,25.88,42.62,0,0,8.077825499
1/5/2012,38.12,27.14,48.92,0,0,8.077825499
1/6/2012,48.2,40.46,55.76,0,0,8.077825499
1/7/2012,37.22,29.66,44.78,0,0,6.835083115
1/8/2012,33.62,25.88,41.18,0,0,2.485484769
1/9/2012,36.32,25.88,46.76,0,0,11.18468146
1/10/2012,40.1,28.22,51.98,0,0,5.59234073
1/11/2012,41.36,31.1,51.62,0,0,2.485484769
1/12/2012,28.04,19.04,37.04,4.606299213,59.84251969,11.80605265
1/13/2012,19.4,16.16,22.82,0.118110236,59.84251969,12.42742384
1/14/2012,16.7,12.92,20.66,0,50,4.970969538
1/15/2012,21.2,11.48,30.92,0,40.15748031,10.56331027
1/16/2012,37.22,30.02,44.24,0.708661417,9.842519685,9.941939076
1/17/2012,28.76,16.16,41.54,1.25984252,0,14.91290861
1/18/2012,18.32,10.76,26.06,0,0,10.56331027
1/19/2012,16.88,5.9,28.04,0.118110236,0,13.04879504
1/20/2012,14.54,5.9,23.18,5.157480315,70.07874016,4.970969538
1/21/2012,20.84,15.98,25.88,0.078740157,59.84251969,7.456454307
1/22/2012,28.76,15.98,41.72,5.236220472,29.92125984,13.04879504
1/23/2012,38.12,30.02,46.04,2.401574803,0,16.77702219
1/24/2012,30.92,24.98,37.04,0,0,8.699196691
1/25/2012,29.48,23.72,35.24,0,0,4.349598346
1/26/2012,32,32,37.22,0,0,4.349598346
1/27/2012,38.12,33.26,42.98,0.31496063,0,8.699196691
1/28/2012,29.66,26.06,33.26,0.669291339,9.842519685,14.29153742
1/29/2012,25.88,21.02,30.92,0,0,10.56331027
1/30/2012,37.58,21.92,53.06,0,0,12.42742384
1/31/2012,50.36,42.98,57.74,0,0,14.91290861
2/1/2012,40.1,33.62,46.4,0,0,4.970969538
2/2/2012,38.3,32.72,43.88,0,0,3.728227153
2/3/2012,36.86,33.8,39.74,0,0,7.456454307
2/4/2012,34.7,28.94,40.46,0.62992126,0,9.941939076
2/5/2012,35.78,27.32,44.24,0,0,5.59234073
2/6/2012,30.56,29.12,32.18,0,0,10.56331027
2/7/2012,32.54,28.94,35.96,0.039370079,0,11.80605265
2/8/2012,30.92,24.98,37.04,0,0,8.077825499
2/9/2012,27.68,20.12,35.24,0,0,9.941939076
2/10/2012,24.98,14.9,35.24,1.417322835,9.842519685,14.91290861
