date,tavg,tmin,tmax,prcp,snow,wspd
1/1/2019,51.62,40.64,64.94,0,0,6.835083115
1/2/2019,54.32,50.36,56.48,14.13385827,0,10.56331027
1/3/2019,51.08,39.74,56.3,2.086614173,0,8.699196691
1/4/2019,45.86,36.32,62.06,0,0,5.59234073
1/5/2019,52.52,37.58,71.78,0,0,3.728227153
1/6/2019,56.66,44.24,73.76,0,0,6.213711922
1/7/2019,65.48,60.44,75.02,0,0,6.835083115
1/8/2019,66.56,55.58,78.8,0,0,3.728227153
1/9/2019,60.98,45.68,64.76,0,0,9.941939076
1/10/2019,51.26,41,61.34,0,0,4.349598346
1/11/2019,53.42,43.7,67.28,0,0,8.699196691
1/12/2019,61.7,46.58,66.2,5.905511811,0,9.941939076
1/13/2019,49.82,41,59,0,0,8.077825499
1/14/2019,46.04,37.58,55.94,0,0,6.213711922
1/15/2019,47.48,43.52,53.96,0,0,4.349598346
1/16/2019,53.6,48.74,62.06,0.472440945,0,8.077825499
1/17/2019,62.24,54.5,69.08,0.31496063,0,6.213711922
1/18/2019,60.44,52.16,71.06,0.196850394,0,8.077825499
1/19/2019,59.72,38.48,71.06,4.645669291,0,18.64113577
1/20/2019,41.54,32.36,53.78,0,0,7.456454307
1/21/2019,46.04,35.6,63.32,0,0,8.699196691
1/22/2019,64.4,60.08,73.22,0.275590551,0,13.67016623
1/23/2019,50,35.78,66.92,9.094488189,0,13.04879504
1/24/2019,42.98,30.74,59.54,0,0,3.728227153
1/25/2019,47.12,36.14,61.52,0,0,5.59234073
1/26/2019,51.26,41.72,65.48,0.078740157,0,4.970969538
1/27/2019,56.12,43.88,66.74,0.157480315,0,4.970969538
1/28/2019,56.3,44.78,71.96,1.496062992,0,8.699196691
1/29/2019,48.74,37.22,51.98,0.039370079,0,13.67016623
1/30/2019,44.78,39.02,51.98,0,0,7.456454307
1/31/2019,50.72,46.76,58.64,2.086614173,0,8.699196691
2/1/2019,58.46,55.58,68,0.275590551,0,6.835083115
2/2/2019,60.44,56.48,66.74,0.236220472,0,7.456454307
2/3/2019,62.24,59,70.34,0.905511811,0,6.835083115
2/4/2019,69.26,66.02,77,0,0,4.970969538
2/5/2019,70.88,67.64,77,0,0,8.077825499
2/6/2019,73.58,70.52,81.5,0,0,11.80605265
2/7/2019,69.62,44.78,75.92,0.31496063,0,14.91290861
2/8/2019,42.98,37.22,44.78,0,0,16.155651
2/9/2019,40.1,37.22,45.32,0,0,9.941939076
2/10/2019,51.98,44.6,68.9,0.078740157,0,9.320567884
2/11/2019,66.2,63.32,74.66,3.42519685,0,8.077825499
2/12/2019,64.4,48.2,67.64,0.078740157,0,11.18468146
2/13/2019,52.52,38.12,64.76,0,0,5.59234073
2/14/2019,60.62,50.36,76.64,0,0,8.699196691
2/15/2019,67.1,58.64,78.26,0,0,7.456454307
2/16/2019,65.84,58.1,69.26,0.118110236,0,5.59234073
2/17/2019,63.32,49.28,70.34,0.590551181,0,11.80605265
2/18/2019,53.96,46.22,66.74,0,0,14.91290861
2/19/2019,50.18,45.5,50.72,2.007874016,0,10.56331027
2/20/2019,51.26,45.32,65.3,0.275590551,0,8.699196691
2/21/2019,53.6,50.36,54.68,1.732283465,0,9.941939076
2/22/2019,55.04,50.36,71.78,0.393700787,0,6.835083115
2/23/2019,71.42,58.46,78.8,0.039370079,0,9.320567884
2/24/2019,60.26,48.56,68.72,0,0,9.320567884
2/25/2019,54.5,46.58,60.08,1.25984252,0,9.320567884
2/26/2019,56.3,53.6,62.24,7.834645669,0,8.699196691
2/27/2019,63.32,60.62,70.7,0.31496063,0,4.349598346
2/28/2019,58.46,45.5,66.92,1.417322835,0,8.699196691
3/1/2019,50.18,45.5,62.24,0,0,4.970969538
3/2/2019,61.7,55.76,73.04,0.393700787,0,6.835083115
3/3/2019,60.62,43.52,64.58,0.236220472,0,12.42742384
3/4/2019,40.28,35.24,43.52,0,0,14.29153742
3/5/2019,37.76,30.38,51.08,0,0,9.941939076
3/6/2019,44.42,33.08,57.02,0,0,8.699196691
3/7/2019,58.28,52.16,70.52,0.275590551,0,8.077825499
3/8/2019,71.78,68,81.5,0,0,9.941939076
3/9/2019,74.48,69.08,82.04,0,0,9.941939076
3/10/2019,73.04,66.02,80.96,0,0,6.835083115
3/11/2019,73.04,64.22,83.48,0,0,8.699196691
3/12/2019,67.64,63.68,72.5,0,0,13.67016623
3/13/2019,71.06,64.76,74.48,2.677165354,0,14.29153742
3/14/2019,72.86,61.34,77.36,1.062992126,0,11.80605265
3/15/2019,59.9,50.72,65.3,0.118110236,0,13.04879504
3/16/2019,56.48,50.72,63.32,0,0,6.835083115
3/17/2019,56.84,48.02,65.48,0,0,5.59234073
3/18/2019,56.3,45.68,70.52,0,0,6.213711922
3/19/2019,59.36,48.92,71.96,0,0,6.835083115
3/20/2019,60.26,47.12,76.64,0,0,3.106855961
3/21/2019,64.76,50.54,77.72,0,0,3.728227153
3/22/2019,64.76,50.72,80.78,0,0,5.59234073
3/23/2019,65.84,55.58,73.76,0,0,9.320567884
3/24/2019,67.28,57.56,80.24,0,0,8.077825499
3/25/2019,73.4,63.14,86.54,0,0,6.835083115
3/26/2019,68,55.22,78.26,0,0,7.456454307
3/27/2019,64.04,51.8,74.48,0,0,8.699196691
3/28/2019,62.78,51.26,77,0,0,9.320567884
3/29/2019,68.54,59.72,78.98,0.236220472,0,11.18468146
3/30/2019,69.26,51.26,77.72,0.236220472,0,11.80605265
3/31/2019,52.52,43.7,55.94,0,0,13.67016623
4/1/2019,48.38,39.02,57.02,0,0,4.970969538
4/2/2019,52.88,37.76,71.78,0,0,4.349598346
4/3/2019,58.82,48.2,72.5,0.433070866,0,10.56331027
4/4/2019,71.42,65.3,83.66,2.322834646,0,8.077825499
4/5/2019,73.58,69.08,82.22,0,0,8.077825499
4/6/2019,73.58,69.8,83.66,0.157480315,0,11.80605265
4/7/2019,71.96,62.6,75.38,8.976377953,0,9.320567884
4/8/2019,69.26,62.78,83.66,0.118110236,0,10.56331027
4/9/2019,74.66,61.34,89.96,0,0,3.728227153
4/10/2019,75.02,61.7,90.32,0,0,11.80605265
4/11/2019,73.58,64.76,79.52,0.62992126,0,8.699196691
4/12/2019,67.28,60.8,74.48,1.456692913,0,11.18468146
4/13/2019,72.68,51.26,84.92,1.456692913,0,13.67016623
4/14/2019,59.54,48.02,73.04,0,0,11.18468146
4/15/2019,63.32,48.74,79.52,0,0,8.077825499
4/16/2019,69.44,59.36,80.42,0,0,13.04879504
4/17/2019,72.86,69.98,78.26,0.236220472,0,14.29153742
4/18/2019,70.16,59.72,76.28,13.7007874,0,11.80605265
4/19/2019,65.12,54.32,73.94,0,0,13.04879504
4/20/2019,63.86,48.56,78.8,0,0,3.106855961
4/21/2019,68.36,54.68,81.5,0,0,11.18468146
4/22/2019,71.06,61.52,80.06,0,0,11.80605265
4/23/2019,71.6,67.64,77.36,0.157480315,0,9.320567884
