date,tavg,tmin,tmax,prcp,snow,wspd
1/1/2009,48.74,44.24,53.24,0,0,3.728227153
1/2/2009,49.82,47.3,52.34,0,0,3.728227153
1/3/2009,54.32,49.28,59.36,0,0,5.59234073
1/4/2009,53.78,45.32,62.24,0,0,4.349598346
1/5/2009,49.28,41.36,57.2,0,0,4.970969538
1/6/2009,51.26,44.24,58.28,0,0,4.970969538
1/7/2009,53.78,45.32,62.24,0,0,4.970969538
1/8/2009,51.26,46.22,56.3,0,0,3.728227153
1/9/2009,56.3,49.28,63.32,0,0,3.106855961
1/10/2009,56.84,43.34,70.34,0,0,3.728227153
1/11/2009,61.88,45.32,78.26,0,0,3.106855961
1/12/2009,66.38,49.28,83.3,0,0,2.485484769
1/13/2009,67.82,56.3,79.34,0,0,3.728227153
1/14/2009,65.84,51.26,80.24,0,0,3.728227153
1/15/2009,66.38,51.26,81.32,0,0,3.728227153
1/16/2009,64.94,50.36,79.34,0,0,2.485484769
1/17/2009,65.3,52.34,78.26,0,0,4.349598346
1/18/2009,68.9,54.32,83.3,0,0,4.970969538
1/19/2009,70.34,59.36,81.32,0,0,4.970969538
1/20/2009,70.34,59.36,81.32,0,0,5.59234073
1/21/2009,66.74,60.26,73.22,0,0,4.349598346
1/22/2009,63.86,59.36,68.36,0.31496063,0,4.349598346
1/23/2009,60.8,57.2,64.22,2.519685039,0,4.970969538
1/24/2009,56.3,53.24,59.36,2.283464567,0,6.835083115
1/25/2009,54.32,50.36,58.28,0,0,9.320567884
1/26/2009,51.8,47.3,56.3,0,0,8.699196691
1/27/2009,54.32,43.34,65.3,0,0,4.970969538
1/28/2009,54.86,44.24,65.3,0,0,3.106855961
1/29/2009,61.34,45.32,77.36,0,0,2.485484769
1/30/2009,61.34,49.28,73.22,0,0,3.728227153
1/31/2009,61.88,51.26,72.32,0,0,4.970969538
2/1/2009,55.22,48.2,62.24,0,0,5.59234073
2/2/2009,63.86,48.2,79.34,0,0,4.970969538
2/3/2009,65.84,52.34,79.34,0,0,4.970969538
2/4/2009,63.32,49.28,77.36,0,0,6.835083115
2/5/2009,57.38,53.24,61.34,4.094488189,0,8.077825499
2/6/2009,55.4,52.34,58.28,6.102362205,0,8.699196691
2/7/2009,53.78,49.28,58.28,3.700787402,0,6.213711922
2/8/2009,52.7,48.2,57.2,0,0,8.699196691
2/9/2009,50.36,47.3,53.24,2.007874016,0,14.29153742
2/10/2009,49.82,43.34,56.3,0,0,6.835083115
2/11/2009,48.38,41.36,55.22,0,0,6.835083115
2/12/2009,50.36,43.34,57.2,0,0,8.699196691
2/13/2009,48.38,42.26,54.32,1.811023622,0,6.213711922
2/14/2009,46.76,40.28,53.24,0,0,4.970969538
2/15/2009,48.38,41.36,55.22,0,0,4.349598346
2/16/2009,51.8,46.22,57.2,11.18110236,0,12.42742384
2/17/2009,51.8,47.3,56.3,5.196850394,0,4.349598346
2/18/2009,52.88,46.22,59.36,0,0,5.59234073
2/19/2009,58.28,45.32,71.24,0,0,6.213711922
2/20/2009,59.36,49.28,69.26,0,0,5.59234073
2/21/2009,55.4,47.3,63.32,0,0,4.970969538
2/22/2009,64.4,56.3,72.32,0,0,3.106855961
2/23/2009,62.42,56.3,68.36,0,0,5.59234073
2/24/2009,56.84,49.28,64.22,0,0,6.213711922
2/25/2009,55.4,51.26,59.36,0,0,6.835083115
2/26/2009,54.32,48.2,60.26,0,0,4.970969538
2/27/2009,57.38,52.34,62.24,0,0,5.59234073
2/28/2009,65.84,50.36,81.32,0,0,6.213711922
3/1/2009,64.76,53.24,76.28,0,0,6.213711922
3/2/2009,61.88,56.3,67.28,0,0,4.349598346
3/3/2009,58.28,53.24,63.32,0,0,7.456454307
3/4/2009,55.4,49.28,61.34,0.393700787,0,7.456454307
3/5/2009,51.26,45.32,57.2,0,0,8.077825499
3/6/2009,54.32,50.36,58.28,0,0,9.320567884
3/7/2009,54.32,47.3,61.34,0,0,7.456454307
3/8/2009,52.88,46.22,59.36,0,0,6.213711922
3/9/2009,55.4,52.34,58.28,0,0,6.835083115
3/10/2009,54.32,49.28,59.36,0,0,8.077825499
3/11/2009,53.24,48.2,58.28,0,0,5.59234073
3/12/2009,56.3,52.34,60.26,0,0,8.699196691
3/13/2009,52.88,46.22,59.36,0,0,5.59234073
3/14/2009,57.38,53.24,61.34,0,0,6.213711922
3/15/2009,56.3,52.34,60.26,0,0,6.213711922
3/16/2009,54.86,47.3,62.24,0,0,5.59234073
3/17/2009,58.82,51.26,66.2,0,0,5.59234073
3/18/2009,61.34,52.34,70.34,0,0,5.59234073
3/19/2009,57.38,52.34,62.24,0,0,4.970969538
3/20/2009,55.76,53.24,58.28,0,0,5.59234073
3/21/2009,55.94,52.34,59.36,0,0,7.456454307
3/22/2009,56.3,52.34,60.26,0.118110236,0,19.88387815
3/23/2009,58.28,49.28,67.28,0,0,10.56331027
3/24/2009,59.9,47.3,72.32,0,0,4.349598346
3/25/2009,59.36,50.36,68.36,0,0,6.213711922
3/26/2009,57.38,51.26,63.32,0,0,5.59234073
3/27/2009,59.9,51.26,68.36,0,0,6.835083115
3/28/2009,61.88,51.26,72.32,0,0,8.077825499
3/29/2009,56.3,51.26,61.34,0,0,5.59234073
3/30/2009,58.28,52.34,64.22,0,0,6.213711922
3/31/2009,57.92,50.36,65.3,0,0,6.835083115
4/1/2009,58.28,52.34,64.22,0,0,6.213711922
4/2/2009,57.92,54.32,61.34,0,0,6.835083115
4/3/2009,57.38,51.26,63.32,0,0,11.18468146
4/4/2009,56.84,48.2,65.3,0,0,7.456454307
4/5/2009,64.4,51.26,77.36,0,0,7.456454307
4/6/2009,65.84,53.24,78.26,0,0,7.456454307
4/7/2009,57.38,52.34,62.24,0,0,9.320567884
4/8/2009,57.38,52.34,62.24,0,0,14.29153742
4/9/2009,57.38,49.28,65.3,0,0,8.077825499
4/10/2009,56.84,53.24,60.26,0,0,10.56331027
4/11/2009,54.86,47.3,62.24,0,0,8.077825499
4/12/2009,57.38,51.26,63.32,0,0,7.456454307
4/13/2009,58.82,51.26,66.2,0,0,6.213711922
4/14/2009,57.38,51.26,63.32,0,0,10.56331027
4/15/2009,53.42,47.3,59.36,0,0,16.155651
4/16/2009,53.42,45.32,61.34,0,0,7.456454307
4/17/2009,56.84,49.28,64.22,0,0,5.59234073
4/18/2009,60.26,51.26,69.26,0,0,6.213711922
4/19/2009,71.42,56.3,86.36,0,0,5.59234073
4/20/2009,78.26,62.24,94.28,0,0,4.970969538
4/21/2009,73.76,58.28,89.24,0,0,6.835083115
4/22/2009,62.42,56.3,68.36,0,0,6.835083115
4/23/2009,58.82,54.32,63.32,0,0,8.077825499
4/24/2009,57.92,54.32,61.34,0,0,9.320567884
4/25/2009,56.84,50.36,63.32,0,0,11.80605265
4/26/2009,56.84,50.36,63.32,0,0,8.077825499
4/27/2009,57.92,52.34,63.32,0,0,6.835083115
4/28/2009,55.76,51.26,60.26,0,0,8.699196691
4/29/2009,55.76,49.28,62.24,0,0,7.456454307
4/30/2009,57.38,51.26,63.32,0,0,6.213711922
5/1/2009,62.24,55.22,69.26,0,0,7.456454307
5/2/2009,60.26,56.3,64.22,0,0,9.941939076
5/3/2009,60.26,54.32,66.2,0,0,6.835083115
5/4/2009,61.88,56.3,67.28,0,0,7.456454307
5/5/2009,63.32,57.2,69.26,0,0,6.835083115
5/6/2009,65.84,57.2,74.3,0,0,8.699196691
5/7/2009,69.44,59.36,79.34,0,0,7.456454307
5/8/2009,65.84,58.28,73.22,0,0,6.213711922
5/9/2009,63.32,58.28,68.36,0,0,6.835083115
5/10/2009,61.88,56.3,67.28,0,0,8.077825499
5/11/2009,61.88,56.3,67.28,0,0,6.835083115
