"sep=,"
date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2012-01-01,17.1,7.4,26.8,0,,,9,,,
2012-01-02,16.3,9,23.5,0,,,9,,,
2012-01-03,16.8,9.6,24,0,,,5,,,
2012-01-04,19.9,10.7,29,0,,,6,,,
2012-01-05,21.3,14.6,27.9,0,,,8,,,
2012-01-06,16.6,10.7,22.4,0,,,5,,,
2012-01-07,12.1,9,15.2,0,,,7,,,
2012-01-08,13,6.3,19.6,0,,,5,,,
2012-01-09,15.7,7.9,23.5,0,,,7,,,
2012-01-10,14,9,19,0,,,8,,,
2012-01-11,14.1,9.6,18.5,0,,,6,,,
2012-01-12,17.4,10.7,24,0,,,7,,,
2012-01-13,17.4,9,25.7,0,,,8,,,
2012-01-14,15.5,9.6,21.3,0,,,6,,,
2012-01-15,12.9,9,16.8,0,,,9,,,
2012-01-16,11.3,9,13.5,0.3,,,9,,,
2012-01-17,10.7,6.8,14.6,0,,,9,,,
2012-01-18,10.8,6.3,15.2,0,,,6,,,
2012-01-19,11.3,6.3,16.3,0,,,8,,,
2012-01-20,12.4,9,15.7,0,,,8,,,
2012-01-21,13.8,11.8,15.7,15.7,,,23,,,
2012-01-22,12.1,7.9,16.3,0,,,8,,,
2012-01-23,11.6,10.2,12.9,14.2,,,11,,,
2012-01-24,13.5,7.4,19.6,0,,,8,,,
2012-01-25,17.7,9.6,25.7,0,,,4,,,
2012-01-26,15.7,10.7,20.7,0,,,10,,,
2012-01-27,18,11.3,24.6,0,,,6,,,
2012-01-28,16,9,22.9,0,,,7,,,
2012-01-29,17.7,9,26.3,0,,,8,,,
2012-01-30,14.1,7.9,20.2,0,,,7,,,
2012-01-31,13.2,9.6,16.8,0,,,9,,,
2012-02-01,13.2,9.6,16.8,0,,,11,,,
2012-02-02,12.7,8.5,16.8,0,,,9,,,
2012-02-03,15.2,7.9,22.4,0,,,5,,,
2012-02-04,16,9.6,22.4,0,,,10,,,
2012-02-05,16.3,9.6,22.9,0,,,7,,,
2012-02-06,14.6,9,20.2,0,,,7,,,
2012-02-07,14.6,12.4,16.8,0.8,,,13,,,
2012-02-08,16.9,11.3,22.4,0,,,8,,,
2012-02-09,18,10.7,25.2,0,,,8,,,
2012-02-10,14.6,10.2,19,0,,,10,,,
2012-02-11,13.5,11.3,15.7,0,,,17,,,
2012-02-12,12.7,9.6,15.7,0,,,12,,,
2012-02-13,12.7,10.2,15.2,0,,,17,,,
2012-02-14,11,6.8,15.2,0,,,9,,,
2012-02-15,10.7,7.4,14,2.3,,,12,,,
2012-02-16,13.2,4.6,21.8,0,,,14,,,
2012-02-17,14.1,8.5,19.6,0,,,8,,,
2012-02-18,11.6,7.9,15.2,0,,,9,,,
2012-02-19,11.3,8.5,14,0,,,9,,,
2012-02-20,11.9,8.5,15.2,0,,,9,,,
2012-02-21,14.6,7.4,21.8,0,,,9,,,
2012-02-22,16,9,22.9,0,,,7,,,
2012-02-23,16.5,9,24,0,,,9,,,
2012-02-24,14.4,11.3,17.4,0,,,9,,,
2012-02-25,13,10.7,15.2,0,,,9,,,
2012-02-26,12.4,9,15.7,0,,,9,,,
2012-02-27,11.3,9,13.5,0,,,22,,,
2012-02-28,9.6,5.2,14,0,,,11,,,
2012-02-29,10.5,6.3,14.6,0,,,16,,,
2012-03-01,13.5,10.7,16.3,0,,,12,,,
2012-03-02,14.3,7.9,20.7,0,,,9,,,
2012-03-03,16.3,9.6,22.9,0,,,8,,,
2012-03-04,21,11.8,30.2,0,,,8,,,
2012-03-05,18,10.2,25.7,0,,,8,,,
2012-03-06,12.1,9.6,14.6,0,,,15,,,
2012-03-07,13,9.6,16.3,0,,,17,,,
2012-03-08,13.5,5.7,21.3,0,,,10,,,
2012-03-09,18.8,10.2,27.4,0,,,11,,,
2012-03-10,15.4,9,21.8,0,,,10,,,
2012-03-11,13.8,11.3,16.3,0,,,11,,,
2012-03-12,13.3,11.3,15.2,0,,,11,,,
2012-03-13,13.3,11.3,15.2,0,,,13,,,
2012-03-14,12.7,9,16.3,0,,,14,,,
2012-03-15,12.7,10.7,14.6,0,,,9,,,
2012-03-16,13.2,11.8,14.6,0.3,,,9,,,
2012-03-17,10.5,7.4,13.5,13.5,,,23,,,
2012-03-18,9.6,6.8,12.4,0.3,,,31,,,
2012-03-19,10.7,7.9,13.5,0,,,12,,,
2012-03-20,12.1,7.4,16.8,0,,,9,,,
2012-03-21,14.3,9,19.6,0,,,10,,,
2012-03-22,13.5,10.2,16.8,0,,,9,,,
2012-03-23,13.8,11.3,16.3,0,,,10,,,
2012-03-24,13.5,10.2,16.8,0,,,11,,,
2012-03-25,11,9,12.9,24.9,,,18,,,
2012-03-26,11.6,8.5,14.6,3.3,,,12,,,
2012-03-27,11.9,8.5,15.2,0,,,13,,,
2012-03-28,12.1,8.5,15.7,0,,,12,,,
2012-03-29,13.8,11.3,16.3,0,,,12,,,
2012-03-30,14.1,11.8,16.3,0,,,10,,,
2012-03-31,13.8,11.3,16.3,3,,,16,,,
2012-04-01,14.6,9.6,19.6,0,,,21,,,
2012-04-02,16.6,10.7,22.4,0,,,13,,,
2012-04-03,15.8,10.2,21.3,0,,,10,,,
2012-04-04,14.3,10.7,17.9,0,,,11,,,
2012-04-05,13.3,10.2,16.3,0,,,13,,,
2012-04-06,14.3,9.6,19,0,,,11,,,
2012-04-07,19.6,11.8,27.4,0,,,12,,,
2012-04-08,15.2,9.6,20.7,0,,,10,,,
2012-04-09,14.3,9.6,19,0,,,11,,,
2012-04-10,13.2,9.6,16.8,9.4,,,13,,,
2012-04-11,13.5,11.8,15.2,6.6,,,20,,,
2012-04-12,12.7,9.6,15.7,0,,,14,,,
2012-04-13,12.1,9.6,14.6,11.2,,,27,,,
2012-04-14,11,6.8,15.2,0,,,19,,,
2012-04-15,12.4,8.5,16.3,0,,,11,,,
2012-04-16,14.9,10.7,19,0,,,10,,,
2012-04-17,15.2,10.7,19.6,0,,,11,,,
2012-04-18,15.7,12.4,19,0,,,9,,,
2012-04-19,15.2,12.9,17.4,0,,,10,,,
2012-04-20,15.7,12.9,18.5,0,,,9,,,
2012-04-21,14.9,12.9,16.8,0,,,8,,,
2012-04-22,14.6,12.4,16.8,0,,,11,,,
2012-04-23,14.1,12.4,15.7,0.5,,,10,,,
