date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2012-01-01,7,2.2,11.7,1.5,0,,11,,,
2012-01-02,,0,10,0,0,,26,,,
2012-01-03,-4.7,-9.4,0,0,0,,26,,,
2012-01-04,-6.7,-11.1,-2.2,0,0,,17,,,
2012-01-05,0.9,-3.3,5,0,0,,15,,,
2012-01-06,6.1,-0.6,12.8,0,0,,13,,,
2012-01-07,10.3,2.8,17.8,0,0,,14,,,
2012-01-08,4.8,0.6,8.9,0,0,,16,,,
2012-01-09,1.7,-1.7,5,0,0,,10,,,
2012-01-10,3.9,-0.6,8.3,0,0,,17,,,
2012-01-11,3.6,-1.1,8.3,3,0,,8,,,
2012-01-12,7.5,5.6,9.4,34.3,0,,17,,,
2012-01-13,3.9,-2.2,10,2.5,0,,31,,,
2012-01-14,-0.8,-2.2,0.6,0,0,,23,,,
2012-01-15,-5.6,-8.9,-2.2,0,0,,23,,,
2012-01-16,-3.9,-10.6,2.8,1.3,0,,11,,,
2012-01-17,6.7,1.7,11.7,4.6,0,,14,,,
2012-01-18,3.3,-5.6,12.2,0,0,,29,,,
2012-01-19,-3.1,-8.3,2.2,0,0,,13,,,
2012-01-20,-0.8,-3.3,1.7,0,0,,18,,,
2012-01-21,-3.9,-6.1,-1.7,5.6,51,,21,,,
2012-01-22,-3.4,-8.9,2.2,0,76,,15,,,
2012-01-23,6.4,0.6,12.2,7.1,51,,12,,,
2012-01-24,8.7,5.6,11.7,0,0,,18,,,
2012-01-25,5.6,2.8,8.3,0,0,,17,,,
2012-01-26,2.5,0.6,4.4,4.6,0,,8,,,
2012-01-27,9.8,3.9,15.6,8.9,0,,18,,,
2012-01-28,5.6,2.2,8.9,0,0,,17,,,
2012-01-29,4.2,0.6,7.8,0,0,,23,,,
2012-01-30,2.8,0.6,5,0,0,,21,,,
2012-01-31,8.6,1.1,16.1,0,0,,16,,,
2012-02-01,12.8,7.8,17.8,0.3,0,,21,,,
2012-02-02,5.9,1.7,10,0,0,,18,,,
2012-02-03,3.6,-0.6,7.8,0,0,,17,,,
2012-02-04,4.5,0.6,8.3,0,0,,12,,,
2012-02-05,2.5,-1.1,6.1,0,0,,13,,,
2012-02-06,4.2,-3.3,11.7,0,0,,17,,,
2012-02-07,5.6,0.6,10.6,0,0,,17,,,
2012-02-08,1.1,-1.1,3.3,0.5,0,,10,,,
2012-02-09,3.6,-1.7,8.9,0,0,,15,,,
2012-02-10,3.3,-1.7,8.3,0,0,,13,,,
2012-02-11,1.7,-0.6,3.9,2,0,,14,,,
2012-02-12,-2.8,-6.7,1.1,0,0,,29,,,
2012-02-13,2,-3.3,7.2,0,0,,23,,,
2012-02-14,5,1.7,8.3,0.3,0,,6,,,
2012-02-15,5.3,2.2,8.3,0,0,,10,,,
2012-02-16,,0,6.1,4.1,0,,4,,,
2012-02-17,7.5,3.3,11.7,0,0,,16,,,
2012-02-18,5.3,0.6,10,0.8,0,,13,,,
2012-02-19,3.6,-0.6,7.8,0,0,,15,,,
2012-02-20,,0,8.9,0,0,,23,,,
2012-02-21,2.8,-2.8,8.3,0,0,,12,,,
2012-02-22,9.2,3.9,14.4,0,0,,14,,,
2012-02-23,11.4,7.2,15.6,0,0,,18,,,
2012-02-24,6.1,3.3,8.9,14.7,0,,16,,,
2012-02-25,4.5,1.1,7.8,0,0,,38,,,
2012-02-26,3.1,-1.7,7.8,0,0,,18,,,
2012-02-27,,0,15.6,0,0,,14,,,
2012-02-28,6.4,2.2,10.6,0,0,,20,,,
2012-02-29,4.5,1.7,7.2,11.2,0,,13,,,
2012-03-01,4.5,2.2,6.7,1.5,0,,15,,,
2012-03-02,3.9,1.7,6.1,6.4,0,,12,,,
2012-03-03,10.3,6.1,14.4,2.8,0,,19,,,
2012-03-04,5,1.7,8.3,0,0,,18,,,
2012-03-05,3.3,-1.7,8.3,0,0,,22,,,
2012-03-06,1.7,-3.9,7.2,0,0,,15,,,
2012-03-07,9.8,1.7,17.8,0,0,,16,,,
2012-03-08,16.7,11.1,22.2,0,0,,30,,,
2012-03-09,10.8,3.3,18.3,0.3,0,,26,,,
2012-03-10,2.5,-1.7,6.7,0,0,,17,,,
2012-03-11,8.1,-0.6,16.7,0,0,,19,,,
2012-03-12,13.6,4.4,22.8,0,0,,13,,,
2012-03-13,18.3,12.2,24.4,0.8,0,,17,,,
2012-03-14,17.3,11.7,22.8,0,0,,14,,,
2012-03-15,9.5,6.7,12.2,0,0,,11,,,
2012-03-16,8.7,6.7,10.6,0.5,0,,7,,,
2012-03-17,10.3,5,15.6,0,0,,10,,,
2012-03-18,13.4,7.8,18.9,0,0,,9,,,
2012-03-19,17,8.9,25,0,0,,10,,,
2012-03-20,17.8,13.3,22.2,0,0,,6,,,
2012-03-21,16.4,13.3,19.4,0,0,,5,,,
2012-03-22,19.7,13.3,26.1,0,0,,9,,,
2012-03-23,19.5,13.9,25,0,0,,11,,,
2012-03-24,13.1,8.9,17.2,2,0,,14,,,
2012-03-25,9.8,7.8,11.7,1.5,0,,13,,,
2012-03-26,7.5,1.7,13.3,0,0,,32,,,
2012-03-27,5.3,-1.1,11.7,0,0,,18,,,
2012-03-28,12.8,4.4,21.1,0.5,0,,21,,,
2012-03-29,11.7,6.7,16.7,0,0,,28,,,
2012-03-30,9.2,4.4,13.9,2,0,,12,,,
2012-03-31,5.8,4.4,7.2,8.4,0,,16,,,
2012-04-01,8.9,6.1,11.7,8.1,0,,9,,,
2012-04-02,10,5,15,1.3,0,,27,,,
2012-04-03,11.7,3.9,19.4,0,0,,18,,,
2012-04-04,15.3,8.9,21.7,0,0,,21,,,
2012-04-05,10.6,5.6,15.6,0,0,,20,,,
2012-04-06,9.5,3.3,15.6,0,0,,19,,,
2012-04-07,11.1,5,17.2,0,0,,25,,,
2012-04-08,13.6,6.1,21.1,0,0,,25,,,
2012-04-09,14.5,10,18.9,0,0,,30,,,
2012-04-10,11.4,5.6,17.2,0,0,,21,,,
2012-04-11,9.8,6.7,12.8,0,0,,18,,,
2012-04-12,11.4,6.1,16.7,0,0,,21,,,
2012-04-13,11.9,4.4,19.4,0,0,,12,,,
2012-04-14,14.5,5.6,23.3,0,0,,16,,,
2012-04-15,20.9,15,26.7,0,0,,16,,,
2012-04-16,23.6,16.1,31.1,0,0,,12,,,
2012-04-17,22.5,17.2,27.8,0,0,,19,,,
2012-04-18,13.6,10,17.2,0.3,0,,14,,,
2012-04-19,15.3,9.4,21.1,0.3,0,,11,,,
2012-04-20,15.3,9.4,21.1,0,0,,9,,,
2012-04-21,18.3,13.3,23.3,6.6,0,,13,,,
2012-04-22,10.9,7.8,13.9,67.1,0,,25,,,
2012-04-23,9.2,5.6,12.8,3.6,0,,22,,,
2012-04-24,10.6,5,16.1,0,0,,25,,,
2012-04-25,11.7,5,18.3,0,0,,12,,,
2012-04-26,9.7,4.4,15,0.5,0,,9,,,
2012-04-27,9.8,5.6,13.9,0,0,,27,,,
2012-04-28,9.7,3.3,16.1,0,0,,17,,,
2012-04-29,12.5,5.6,19.4,0,0,,20,,,
2012-04-30,9.7,4.4,15,0,0,,13,,,
2012-05-01,17.3,11.7,22.8,10.2,0,,9,,,
2012-05-02,12.5,10.6,14.4,3.6,0,,8,,,
2012-05-03,12.5,10.6,14.4,13,0,,5,,,
2012-05-04,18.3,12.2,24.4,1,0,,9,,,
2012-05-05,15.3,13.3,17.2,0,0,,7,,,
2012-05-06,14.7,11.1,18.3,0,0,,10,,,
2012-05-07,14.2,10.6,17.8,0,0,,9,,,
2012-05-08,18.1,13.3,22.8,0.8,0,,12,,,
2012-05-09,18.4,15,21.7,5.6,0,,10,,,
2012-05-10,15.3,11.1,19.4,3.8,0,,23,,,
2012-05-11,15.9,8.9,22.8,0,0,,20,,,
2012-05-12,18.6,10,27.2,0,0,,12,,,
2012-05-13,22.3,15.6,28.9,0,0,,15,,,
2012-05-14,19.5,17.2,21.7,0.8,0,,10,,,
2012-05-15,18.4,16.7,20,11.9,0,,9,,,
2012-05-16,22.3,16.7,27.8,3.8,0,,11,,,
2012-05-17,17.8,12.2,23.3,0,0,,13,,,
2012-05-18,16.4,11.7,21.1,0,0,,11,,,
2012-05-19,18.4,10,26.7,0,0,,8,,,
2012-05-20,19.8,12.8,26.7,0,0,,14,,,
2012-05-21,17,15,18.9,41.1,0,,12,,,
2012-05-22,19.2,16.1,22.2,3.8,0,,12,,,
