date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-01-01,11.2,5.5,15.8,2.3,0,274,24,,,
2019-01-02,5.5,2.2,5.9,0,0,,10,,,
2019-01-03,5.2,0.5,7.6,0,0,,15,,,
2019-01-04,3,-1.3,7.2,1,0,,9,,,
2019-01-05,6.8,4.4,8.1,12.3,0,212,17,,,
2019-01-06,7,1.5,11.1,0,0,296,22,,,
2019-01-07,0.4,-2.4,1.7,0.4,0,,11,,,
2019-01-08,3.6,0.6,7.8,6.5,0,,7,,,
2019-01-09,6.2,0.5,8.3,0.2,0,281,29,,,
2019-01-10,1.4,-1.3,3.7,0,0,,31,,,
2019-01-11,-1.2,-3.7,1.2,0,0,,21,,,
2019-01-12,-2.4,-6.3,1.4,1.4,0,,7,,,
2019-01-13,-2.1,-3,-1,2.9,30,,16,,,
2019-01-14,-2.4,-6.3,1.4,0,0,,15,,,
2019-01-15,-1.3,-5.8,2.8,0,0,,10,,,
2019-01-16,-0.3,-4.7,3.6,0,0,,14,,,
2019-01-17,0.1,-3.7,1.7,0.3,0,,10,,,
2019-01-18,0.3,-1.6,3.3,1.3,30,,8,,,
2019-01-19,1.7,0,3.6,15.7,0,,11,,,
2019-01-20,2.8,-8.5,9.7,18.2,0,225,28,,,
2019-01-21,-9.3,-12.4,-7.3,0,0,304,36,,,
2019-01-22,-7.1,-11,-0.2,0,0,,12,,,
2019-01-23,1.1,-2.4,12,0.2,0,,14,,,
2019-01-24,10.7,0.6,15.6,32.8,0,236,27,,,
2019-01-25,1.4,-4,4.2,0,0,,19,,,
2019-01-26,-1.6,-6.4,2.5,0,0,,5,,,
2019-01-27,2,-3.7,8.6,0,0,,12,,,
2019-01-28,0.5,-4.3,2.5,0,0,,12,,,
2019-01-29,-0.2,-4.8,5.5,4.7,0,,12,,,
2019-01-30,-2.8,-14.1,1.7,0.3,0,274,26,,,
2019-01-31,-11.9,-15.1,-7.7,0,0,270,17,,,
2019-02-01,-9.5,-11.6,-7.7,1.8,0,,8,,,
2019-02-02,-7.5,-12.5,-0.7,0,30,,12,,,
2019-02-03,0.6,-6.1,10.1,0,0,,3,,,
2019-02-04,4.4,-3.2,15.1,0,0,,4,,,
2019-02-05,8.1,-0.6,19.2,0,0,,8,,,
2019-02-06,8,1.8,11.4,8.4,0,,11,,,
2019-02-07,6.2,4.4,8.9,1.4,0,,11,,,
2019-02-08,6.7,0.3,12.8,0.9,0,,20,,,
2019-02-09,-0.6,-4.6,0.9,0,0,,24,,,
2019-02-10,-2,-6.4,2.6,1.9,0,,10,,,
2019-02-11,-0.4,-1.8,0.9,7.8,50,,8,,,
2019-02-12,0.4,-1,3.1,24.8,50,,17,,,
2019-02-13,3.6,1.2,5.8,0.9,0,256,24,,,
2019-02-14,3.6,-0.4,9.4,0,0,,16,,,
2019-02-15,9.8,5.3,16.8,0,0,218,20,,,
2019-02-16,7,-0.6,9.5,0,0,,19,,,
2019-02-17,0.4,-3.8,2.8,5.4,0,,11,,,
2019-02-18,3.3,-0.2,7.2,4,0,,22,,,
2019-02-19,0,-3.7,3.7,0,0,,17,,,
2019-02-20,-0.9,-3.2,0.9,16.1,0,,11,,,
2019-02-21,3.9,0.8,11.2,0.3,50,,15,,,
2019-02-22,7,2.3,8.1,0,0,,12,,,
2019-02-23,3.6,0.8,5.3,0.7,0,,11,,,
2019-02-24,5.1,3.1,9.7,9.9,0,,21,,,
2019-02-25,5.1,0.3,6.5,0,0,,36,,,
2019-02-26,1.5,-2.4,6.1,0,0,,20,,,
2019-02-27,-0.1,-4.1,3.4,0,0,,13,,,
2019-02-28,1.5,-0.8,4.6,0,0,,13,,,
2019-03-01,-0.2,-2.1,1.5,10.3,80,,15,,,
2019-03-02,1.9,0.4,4.1,7.3,0,,15,,,
2019-03-03,3.2,-0.2,6.2,23.2,0,,10,,,
2019-03-04,1.4,-3.3,2.9,1.8,0,,22,,,
2019-03-05,-2.2,-6.5,1.4,0,0,,14,,,
2019-03-06,-4.3,-7.1,-2.3,0,0,,25,,,
2019-03-07,-3,-7.3,2.9,0,0,,15,,,
2019-03-08,0.1,-4.8,4.7,0.1,0,,5,,,
2019-03-09,3.4,0.8,9.2,0,0,,9,,,
2019-03-10,5.9,3,9.8,22,0,,12,,,
2019-03-11,8.6,5,13.4,0,0,290,22,,,
2019-03-12,5.9,0.8,8.1,0,0,,19,,,
2019-03-13,4.2,-2.2,10.8,0,0,,9,,,
2019-03-14,9.7,3.1,19.7,0,0,163,15,,,
2019-03-15,17.5,12.4,25.1,0.7,0,218,26,,,
2019-03-16,10.8,2.7,12.8,0,0,294,30,,,
2019-03-17,4.1,-0.6,7.9,0,0,,16,,,
2019-03-18,4.1,0,8.7,0,0,,11,,,
2019-03-19,5,0.2,10,0,0,,10,,,
2019-03-20,5.7,-1.1,11.6,0,0,,11,,,
2019-03-21,8,5.8,10.6,23.2,0,,21,,,
2019-03-22,7.7,3.6,11.1,5.9,0,271,35,,,
2019-03-23,5.7,1.7,10.9,0,0,286,28,,,
2019-03-24,8.5,0.6,16.5,0,0,233,15,,,
2019-03-25,10.8,4.7,15,3.2,0,,12,,,
2019-03-26,5.1,0.1,9.4,0,0,186,20,,,
2019-03-27,4.8,-1.6,11.2,0,0,,11,,,
2019-03-28,5.9,-1.3,14.4,0,0,,12,,,
2019-03-29,11.7,8.6,17.3,0,0,,9,,,
2019-03-30,15.6,9.5,23.9,0,0,,17,,,
2019-03-31,13.8,1.6,16.7,2.2,0,253,27,,,
2019-04-01,4.1,-0.3,8.7,0,0,,21,,,
2019-04-02,5.9,-0.6,11.2,0,0,,12,,,
2019-04-03,10.1,3.1,19.8,0,0,271,24,,,
2019-04-04,13.3,7.2,17.9,0,0,,13,,,
2019-04-05,8.2,5,10.9,2.1,0,,18,,,
2019-04-06,9.6,5.4,19.6,0.1,0,,8,,,
2019-04-07,14.9,7.3,21.2,0.3,0,,12,,,
2019-04-08,18.4,11.9,27.8,2.8,0,229,16,,,
2019-04-09,19.2,12.3,22.3,0.4,0,,16,,,
2019-04-10,14.5,7.7,17.9,0,0,241,17,,,
2019-04-11,9.9,5.8,13.9,0,0,78,16,,,
2019-04-12,13.9,8.6,23.7,5.9,0,,16,,,
2019-04-13,18.6,15.9,24.1,1.6,0,,12,,,
2019-04-14,18.8,14.5,22.7,0.4,0,,14,,,
2019-04-15,16.2,7.3,21.8,15.3,0,,30,,,
2019-04-16,11.6,5.2,19.2,0,0,,20,,,
2019-04-17,13.9,10.6,17,0,0,82,15,,,
2019-04-18,16.8,10.9,26.7,0,0,145,18,,,
2019-04-19,20.7,17.8,25.3,9.6,0,,23,,,
2019-04-20,19.3,14.4,22.2,13.4,0,167,22,,,
2019-04-21,16,11.5,20.6,0,0,,10,,,
2019-04-22,16.4,12.2,20.9,0.2,0,,17,,,
2019-04-23,19.1,11.3,25.8,0,0,,12,,,
2019-04-24,19.6,14.3,22.5,0,0,,16,,,
2019-04-25,16.9,12.3,19.7,0,0,,11,,,
2019-04-26,15.5,11.5,21.8,21.4,0,,17,,,
2019-04-27,14.8,9.7,19.8,0,0,282,30,,,
2019-04-28,14.6,7,20.3,0.1,0,,13,,,
2019-04-29,10.9,4.2,16.9,1.1,0,,13,,,
2019-04-30,15,10.1,24.4,0,0,,12,,,
2019-05-01,14.2,11.5,16.1,0,0,88,14,,,
2019-05-02,17,11.8,27.8,0.4,0,,9,,,
2019-05-03,15.3,11.1,20.4,0,0,,12,,,
2019-05-04,17.6,14,23.7,0,0,87,9,,,
