date,tavg,tmin,tmax,prcp,snow,wspd
1/1/2019,42.8,37.76,50.9,0,0,3.728227153
1/2/2019,41.18,30.02,51.8,0,0,3.106855961
1/3/2019,42.44,32.9,56.84,0,0,3.728227153
1/4/2019,47.48,36.86,66.74,0,0,4.349598346
1/5/2019,54.32,44.78,66.74,0.708661417,0,6.213711922
1/6/2019,53.96,46.76,54.86,4.803149606,0,3.728227153
1/7/2019,50.54,42.8,62.78,0,0,4.349598346
1/8/2019,53.96,42.8,71.78,0,0,2.485484769
1/9/2019,58.28,47.84,72.86,0,0,4.349598346
1/10/2019,59.72,49.82,66.74,0,0,3.728227153
1/11/2019,54.68,44.78,65.84,0,0,5.59234073
1/12/2019,56.3,46.76,68.9,0.31496063,0,7.456454307
1/13/2019,55.22,46.76,62.78,0.118110236,0,1.864113577
1/14/2019,56.66,50.9,69.8,0.31496063,0,4.970969538
1/15/2019,60.26,52.88,64.76,1.181102362,0,5.59234073
1/16/2019,56.48,49.82,68.9,0,0,3.106855961
1/17/2019,57.74,47.84,68.9,0,0,3.106855961
1/18/2019,60.62,50.9,69.8,0,0,6.213711922
1/19/2019,59.18,43.88,70.88,0,0,3.728227153
1/20/2019,58.28,45.86,73.76,0,0,3.106855961
1/21/2019,59.18,48.74,67.82,0,0,11.18468146
1/22/2019,52.7,42.8,63.86,0,0,5.59234073
1/23/2019,51.98,37.76,61.88,0,0,3.106855961
1/24/2019,51.44,38.84,68.9,0,0,3.728227153
1/25/2019,55.58,39.74,68.9,0,0,4.349598346
1/26/2019,56.12,40.82,71.78,0,0,3.106855961
1/27/2019,57.38,44.78,72.86,0,0,3.106855961
1/28/2019,57.74,46.76,71.78,0,0,3.728227153
1/29/2019,61.16,50.9,70.88,0,0,3.106855961
1/30/2019,62.42,54.86,73.76,0,0,4.349598346
1/31/2019,62.06,50.9,72.86,0,0,4.349598346
2/1/2019,64.04,53.78,74.84,0,0,4.970969538
2/2/2019,62.78,55.76,72.86,0,0,6.835083115
2/3/2019,62.24,55.76,66.74,3.11023622,0,5.59234073
2/4/2019,58.64,54.86,65.84,0,0,8.077825499
2/5/2019,57.2,49.82,66.74,0.118110236,0,9.941939076
2/6/2019,53.78,41.9,55.76,0.708661417,0,13.67016623
2/7/2019,45.86,35.78,56.84,0,0,4.970969538
2/8/2019,49.28,37.76,66.74,0,0,3.106855961
2/9/2019,51.8,43.88,58.82,0,0,5.59234073
2/10/2019,49.82,37.76,65.84,0,0,3.106855961
2/11/2019,52.16,42.8,58.82,0,0,5.59234073
2/12/2019,50.72,37.76,68.9,0,0,4.349598346
2/13/2019,57.2,48.74,66.74,0,0,4.970969538
2/14/2019,59,55.76,60.8,0.708661417,0,5.59234073
2/15/2019,58.64,51.8,66.74,0,0,4.970969538
2/16/2019,57.74,48.74,62.78,0,0,9.320567884
2/17/2019,51.08,40.82,59.9,0,0,8.077825499
2/18/2019,50.54,42.8,54.86,0.393700787,0,7.456454307
2/19/2019,46.22,35.78,56.84,0,0,7.456454307
2/20/2019,45.86,33.8,57.74,0,0,6.213711922
2/21/2019,50.18,39.74,53.78,10.11811024,0,11.18468146
2/22/2019,41.9,37.76,46.76,2.795275591,0,6.835083115
2/23/2019,43.16,35.78,54.86,0,0,3.728227153
2/24/2019,48.2,36.86,63.86,0,0,4.349598346
2/25/2019,52.52,40.82,66.74,0,0,3.106855961
2/26/2019,56.48,42.8,71.78,0,0,4.970969538
2/27/2019,62.6,53.78,75.74,0,0,3.728227153
2/28/2019,62.6,50.9,76.82,0,0,4.970969538
3/1/2019,64.94,55.76,77.9,0,0,6.213711922
3/2/2019,66.74,56.84,75.74,0,0,7.456454307
3/3/2019,64.4,51.8,74.84,0,0,4.349598346
3/4/2019,63.68,51.8,73.76,0,0,4.970969538
3/5/2019,64.4,52.88,79.88,0,0,3.728227153
3/6/2019,68.54,57.74,84.74,0,0,8.077825499
3/7/2019,69.08,57.74,74.84,0,0,4.970969538
3/8/2019,64.94,53.78,68.9,0,0,11.80605265
3/9/2019,56.48,45.86,65.84,0,0,4.970969538
3/10/2019,57.74,47.84,69.8,0,0,6.213711922
3/11/2019,61.7,51.8,67.82,0.511811024,0,6.213711922
3/12/2019,55.94,50.9,58.82,2.283464567,0,7.456454307
3/13/2019,56.3,49.82,66.74,0.196850394,0,16.155651
3/14/2019,53.96,43.88,64.76,0,0,5.59234073
3/15/2019,59,47.84,74.84,0,0,8.077825499
3/16/2019,67.82,59.9,78.8,0,0,11.80605265
3/17/2019,67.64,58.82,78.8,0,0,6.835083115
3/18/2019,69.62,56.84,82.76,0,0,4.349598346
3/19/2019,71.42,58.82,84.74,0,0,6.835083115
3/20/2019,71.78,59.9,82.76,0,0,9.941939076
3/21/2019,66.2,56.84,69.8,0,0,5.59234073
3/22/2019,60.8,49.82,73.76,0,0,4.349598346
3/23/2019,64.04,53.78,77.9,0,0,4.970969538
3/24/2019,66.92,52.88,80.78,0,0,6.213711922
3/25/2019,69.44,53.78,86.9,0,0,4.349598346
3/26/2019,72.14,57.74,86.9,0,0,3.728227153
3/27/2019,73.58,61.88,81.86,0,0,4.349598346
3/28/2019,71.24,56.84,85.82,0,0,6.835083115
3/29/2019,70.7,56.84,81.86,0,0,7.456454307
3/30/2019,69.08,54.86,82.76,0,0,5.59234073
3/31/2019,69.44,54.86,80.78,0,0,4.970969538
4/1/2019,71.78,57.74,82.76,0,0,5.59234073
4/2/2019,72.5,57.74,87.8,0,0,8.077825499
4/3/2019,71.96,62.78,78.8,0,0,5.59234073
4/4/2019,70.16,59.9,84.74,0,0,7.456454307
4/5/2019,71.24,57.74,81.86,0,0,7.456454307
4/6/2019,71.78,64.76,81.86,0,0,5.59234073
4/7/2019,73.4,60.8,88.88,0,0,4.349598346
4/8/2019,78.08,62.78,96.8,0,0,4.970969538
4/9/2019,81.68,65.84,96.8,0,0,11.80605265
4/10/2019,73.94,59.9,76.82,0,0,19.26250696
4/11/2019,66.74,54.86,77.9,0,0,10.56331027
4/12/2019,69.98,63.86,75.74,0,0,7.456454307
4/13/2019,65.66,54.86,79.88,0,0,3.106855961
4/14/2019,70.88,57.74,85.82,0,0,6.213711922
4/15/2019,76.1,61.88,88.88,0,0,8.699196691
4/16/2019,74.48,60.8,81.86,0.118110236,0,11.80605265
4/17/2019,64.04,56.84,78.8,0,0,7.456454307
4/18/2019,72.68,59.9,91.76,0,0,6.213711922
4/19/2019,81.14,64.76,98.78,0,0,5.59234073
4/20/2019,83.66,69.8,93.74,0,0,10.56331027
4/21/2019,79.34,66.74,89.78,0,0,9.320567884
4/22/2019,75.74,61.88,87.8,0,0,5.59234073
4/23/2019,76.46,63.86,85.82,0,0,5.59234073
4/24/2019,76.1,64.76,93.74,0,0,6.835083115
4/25/2019,82.76,67.82,98.78,0,0,6.213711922
4/26/2019,86.9,70.88,99.86,0,0,8.077825499
4/27/2019,86.36,70.88,97.88,0,0,8.077825499
4/28/2019,84.02,68.9,96.8,0,0,7.456454307
4/29/2019,84.38,62.78,86.9,0.787401575,0,9.320567884
4/30/2019,70.7,60.8,82.76,0,0,6.835083115
5/1/2019,75.74,64.76,87.8,0,0,5.59234073
5/2/2019,77.18,63.86,87.8,0,0,5.59234073
5/3/2019,78.26,64.76,93.74,0,0,5.59234073
5/4/2019,81.68,65.84,94.82,0,0,6.835083115
5/5/2019,82.22,66.74,93.74,0,0,5.59234073
5/6/2019,78.8,66.74,85.82,0,0,8.077825499
5/7/2019,71.6,59.9,79.88,0.118110236,0,7.456454307
5/8/2019,73.58,64.76,87.8,0,0,9.320567884
5/9/2019,73.4,63.86,89.78,0,0,9.320567884
5/10/2019,77,65.84,86.9,0,0,8.699196691
5/11/2019,74.3,63.86,86.9,0.118110236,0,7.456454307
5/12/2019,75.02,64.76,85.82,0.196850394,0,7.456454307
5/13/2019,75.38,64.76,90.86,0,0,6.213711922
5/14/2019,83.66,70.88,97.88,0,0,4.970969538
5/15/2019,87.08,72.86,99.86,0,0,8.077825499
5/16/2019,85.46,72.86,93.74,0,0,15.53427981
5/17/2019,73.76,60.8,80.78,0,0,9.941939076
5/18/2019,73.94,61.88,85.82,0,0,4.970969538
5/19/2019,76.46,67.82,80.78,0,0,10.56331027
5/20/2019,69.44,59.9,76.82,0,0,13.67016623
5/21/2019,68.18,56.84,82.76,0,0,11.80605265
5/22/2019,69.08,59.9,76.82,0,0,8.077825499
5/23/2019,65.66,53.78,75.74,0.590551181,0,8.077825499
5/24/2019,71.78,58.82,87.8,0,0,3.728227153
