cbsa,metro_name,yr,qtr,index_nsa,index_sa
16984,"Chicago-Naperville-Evanston, IL  (MSAD)",2012,1,155.92,159.97
16984,"Chicago-Naperville-Evanston, IL  (MSAD)",2012,2,165.13,161.83
16984,"Chicago-Naperville-Evanston, IL  (MSAD)",2012,3,167.25,163.6
16984,"Chicago-Naperville-Evanston, IL  (MSAD)",2012,4,162.25,163.54
16984,"Chicago-Naperville-Evanston, IL  (MSAD)",2013,1,163.86,167.98
16984,"Chicago-Naperville-Evanston, IL  (MSAD)",2013,2,177.03,173.11
16984,"Chicago-Naperville-Evanston, IL  (MSAD)",2013,3,178.54,175.06
16984,"Chicago-Naperville-Evanston, IL  (MSAD)",2013,4,177.65,179.16
16984,"Chicago-Naperville-Evanston, IL  (MSAD)",2014,1,176.65,180.71
16984,"Chicago-Naperville-Evanston, IL  (MSAD)",2014,2,184.71,180.56
16984,"Chicago-Naperville-Evanston, IL  (MSAD)",2014,3,186.23,182.98
16984,"Chicago-Naperville-Evanston, IL  (MSAD)",2014,4,183.12,184.71
16984,"Chicago-Naperville-Evanston, IL  (MSAD)",2015,1,181.74,185.44
16984,"Chicago-Naperville-Evanston, IL  (MSAD)",2015,2,192.61,188.35
16984,"Chicago-Naperville-Evanston, IL  (MSAD)",2015,3,191.79,188.83
16984,"Chicago-Naperville-Evanston, IL  (MSAD)",2015,4,188.3,190.03
16984,"Chicago-Naperville-Evanston, IL  (MSAD)",2016,1,188.73,191.88
16984,"Chicago-Naperville-Evanston, IL  (MSAD)",2016,2,198.92,194.79
16984,"Chicago-Naperville-Evanston, IL  (MSAD)",2016,3,201.5,198.62
16984,"Chicago-Naperville-Evanston, IL  (MSAD)",2016,4,200.09,202.15
16984,"Chicago-Naperville-Evanston, IL  (MSAD)",2017,1,201.7,204.32
16984,"Chicago-Naperville-Evanston, IL  (MSAD)",2017,2,208.83,204.7
16984,"Chicago-Naperville-Evanston, IL  (MSAD)",2017,3,209.7,207.06
16984,"Chicago-Naperville-Evanston, IL  (MSAD)",2017,4,206.95,209.15
16984,"Chicago-Naperville-Evanston, IL  (MSAD)",2018,1,209.86,211.96
16984,"Chicago-Naperville-Evanston, IL  (MSAD)",2018,2,218.1,214.03
16984,"Chicago-Naperville-Evanston, IL  (MSAD)",2018,3,217.06,214.71
16984,"Chicago-Naperville-Evanston, IL  (MSAD)",2018,4,213.1,215.15
16984,"Chicago-Naperville-Evanston, IL  (MSAD)",2019,1,215.9,217.66
16984,"Chicago-Naperville-Evanston, IL  (MSAD)",2019,2,223.76,219.91
16984,"Chicago-Naperville-Evanston, IL  (MSAD)",2019,3,222.67,220.63
16984,"Chicago-Naperville-Evanston, IL  (MSAD)",2019,4,220.56,222.19
16984,"Chicago-Naperville-Evanston, IL  (MSAD)",2020,1,223.67,225.32
16984,"Chicago-Naperville-Evanston, IL  (MSAD)",2020,2,228.85,225.29
16984,"Chicago-Naperville-Evanston, IL  (MSAD)",2020,3,235.84,233.89
16984,"Chicago-Naperville-Evanston, IL  (MSAD)",2020,4,240.05,241.36
16984,"Chicago-Naperville-Evanston, IL  (MSAD)",2021,1,245.24,246.96
31084,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",2012,1,165.9,166.41
31084,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",2012,2,174.25,172.24
31084,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",2012,3,178.59,175.89
31084,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",2012,4,183.29,182.82
31084,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",2013,1,191.13,191.43
31084,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",2013,2,202.08,199.73
31084,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",2013,3,211.43,208.39
31084,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",2013,4,212.56,212.12
31084,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",2014,1,215.25,215.21
31084,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",2014,2,222.15,219.63
31084,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",2014,3,226.66,223.75
31084,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",2014,4,227.62,227.13
31084,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",2015,1,232.09,231.61
31084,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",2015,2,237.44,234.78
31084,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",2015,3,241.82,239.21
31084,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",2015,4,245.44,244.82
31084,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",2016,1,249.9,248.93
31084,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",2016,2,254.77,252.01
31084,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",2016,3,258.12,255.64
31084,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",2016,4,262.72,262.12
31084,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",2017,1,267.11,265.72
31084,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",2017,2,276.36,273.34
31084,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",2017,3,281.98,279.44
31084,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",2017,4,286.36,285.97
31084,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",2018,1,293.41,291.39
31084,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",2018,2,295.09,292
31084,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",2018,3,297.65,295.09
31084,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",2018,4,295.5,295.17
31084,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",2019,1,300.16,297.89
31084,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",2019,2,309.2,305.91
31084,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",2019,3,310.53,308.22
31084,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",2019,4,312.5,311.98
31084,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",2020,1,321.88,319.18
31084,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",2020,2,326.97,323.64
31084,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",2020,3,335.63,333.54
31084,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",2020,4,349.95,348.83
31084,"Los Angeles-Long Beach-Glendale, CA  (MSAD)",2021,1,363.3,360.39
35614,"New York-Jersey City-White Plains, NY-NJ  (MSAD)",2012,1,221.54,223.88
35614,"New York-Jersey City-White Plains, NY-NJ  (MSAD)",2012,2,220.62,220.21
35614,"New York-Jersey City-White Plains, NY-NJ  (MSAD)",2012,3,228.41,224.9
35614,"New York-Jersey City-White Plains, NY-NJ  (MSAD)",2012,4,224.61,224.72
35614,"New York-Jersey City-White Plains, NY-NJ  (MSAD)",2013,1,224.44,226.68
35614,"New York-Jersey City-White Plains, NY-NJ  (MSAD)",2013,2,230.65,230.28
35614,"New York-Jersey City-White Plains, NY-NJ  (MSAD)",2013,3,232.07,228.56
35614,"New York-Jersey City-White Plains, NY-NJ  (MSAD)",2013,4,231.96,232.22
35614,"New York-Jersey City-White Plains, NY-NJ  (MSAD)",2014,1,229.84,231.79
35614,"New York-Jersey City-White Plains, NY-NJ  (MSAD)",2014,2,236.67,236.3
35614,"New York-Jersey City-White Plains, NY-NJ  (MSAD)",2014,3,240.22,236.91
35614,"New York-Jersey City-White Plains, NY-NJ  (MSAD)",2014,4,237.86,238.11
35614,"New York-Jersey City-White Plains, NY-NJ  (MSAD)",2015,1,241.12,242.78
