OFFENSE,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,,,,,,,
FELONY POSSESSION OF STOLEN PROPERTY,711,689,1090,904,769,1019,951,733,699,,,,,,,,,
FORGERY/THEFT_FRAUD/IDENTITY THEFT,10233,9493,9520,10400,11079,10063,9413,8684,4746,,,,,,,,,
ARSON,1253,1187,1205,1026,802,680,741,711,832,,,,,,,,,
FELONY SEX CRIMES (3),1380,1073,1135,1152,1336,1367,1615,1562,1143,,,,,,,,,
FELONY DANGEROUS DRUGS (1),19680,19571,17113,15279,14712,13348,11236,9587,5372,,,,,,,,,
FELONY DANGEROUS WEAPONS (2),4979,5155,4605,4848,5465,4843,4639,4219,3677,,,,,,,,,
FEL. CRIMINAL MISCHIEF & RELATED OFFENSES,6737,7468,8466,9253,9966,10073,10427,11302,11569,,,,,,,,,
OTHER FELONIES (4),11929,13014,13735,13658,14217,13514,13645,14686,12977,,,,,,,,,
TOTAL NON-SEVEN MAJOR FELONY OFFENSES,56902,57650,56869,56520,58346,54907,52667,51484,41015,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CRIME CATEGORY NOTES,,,,,,,,,,,,,,,,,,
"(1) Total of all top charge Felony Dangerous Drugs arrests made by all arresting agencies.  Contains Criminal Possession of a Controlled Substance, Criminal ",,,,,,,,,,,,,,,,,,
"     Sale of Controlled Substance, Criminal Sale Controlled Substance on School Grounds, Criminal Injection Narcotic Drug, Criminally Using Drug Paraphernalia,",,,,,,,,,,,,,,,,,,
"     Criminal Possession of Precursors of Controlled Substance, Criminal Sale of Prescription for Controlled Substance, Criminal Possession of Marijuana, and",,,,,,,,,,,,,,,,,,
     Criminal Sale of Marijuana,,,,,,,,,,,,,,,,,,
"(2) Contains Criminal Possession of Weapon, Criminal Use of Firearm, Manufacture Transport Disposition and Defacement of Weapons, Criminal Sale  ",,,,,,,,,,,,,,,,,,
"     of a Firearm, Criminal Sale of Firearm with Aid of Minor, Criminal Sale of Firearm to a Minor,   ",,,,,,,,,,,,,,,,,,
"(3) Contains Criminal Sexual Act, Sexual Abuse, Persistent Sexual Abuse, Agg. Sexual Abuse, Course of Sexual Conduct Against a Child, Female Genital Mutilation, ",,,,,,,,,,,,,,,,,,
"     Facilitate Sexual Offense with Controlled Substance, Obscenity, Incest, and Disseminating Indecent Materials to Minors ",,,,,,,,,,,,,,,,,,
"(4) Contains primarily the Penal Law offenses of Criminal Contempt 1, Reckless Endangerment 1 and Aggravated Harassment 1 as well as Other State Laws (Tax Law, ABC, etc.)",,,,,,,,,,,,,,,,,,
Green highlights represent categories where a substantial portion of the complaint counts are generated as a result of the implementation,,,,,,,,,,,,,,,,,,
of pro-active policing strategies,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
STATISTICAL NOTES,,,,,,,,,,,,,,,,,,
1. 2000-2005 Data Source-Historical Comfinal data including Complaint Follow-Up data.  Compiled from aggregated monthly tapes 2000 thru 2005.,,,,,,,,,,,,,,,,,,
2. 2006-2016 Data Source-CDW Omniform System and S-DD5 System (Complaint Follow Up) data by record create date.  ,,,,,,,,,,,,,,,,,,
3. 2000-2009 data as of 12/8/2010.  2010 data as of 1/18/2011. 2011 data as of 1/18/2012. 2012 data as of 4/1/2013. 2013 data as of 1/17/2014. 2014 data as of 1/16/2015. 2015 data as of 1/18/2016. 2016 data as of 1/16/2017. 2017 data as of 1/17/2018. 2018 data as of 1/14/2019. 2019 data as of 1/15/2020. 2020 data as of 1/15/2021.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
